BaseName,CopyCount,UniqueHashCount,Paths,Assessment
README.md,31,31,README.md | BELGE_KOPYALARI/README.md | build/README.md | compiler/README.md | final/README.md | ide/README.md | lib/README.md | math_extensions/README.md | runtime/README.md | tests/README.md | tools/README.md | UX-FP V1/README.md | uxm_V3.1_Full_Final/README.md | math_extensions/compiler/README.md | math_extensions/docs/README.md | math_extensions/lib/README.md | math_extensions/runtime/README.md | math_extensions/tests_math/README.md | ide/uxminima-vscode/README.md | ide/uxminima-vscode/.github/README.md,AYNI_AD_FARKLI_ICERIK
build_final_compiler.bat,2,2,build_final_compiler.bat | ide/uxminima-vscode/tools/build_final_compiler.bat,AYNI_AD_FARKLI_ICERIK
uX_Minima_Kullanim Klavuzu.md,2,2,uX_Minima_Kullanim Klavuzu.md | legacy/duplicates/BELGE_KOPYALARI/uX_Minima_Kullanim Klavuzu.md,AYNI_AD_FARKLI_ICERIK
ux_minima_IDE_vscode.md,2,2,ux_minima_IDE_vscode.md | legacy/duplicates/BELGE_KOPYALARI/ux_minima_IDE_vscode.md,AYNI_AD_FARKLI_ICERIK
ux_minima_full v31.md,2,2,ux_minima_full v31.md | legacy/duplicates/BELGE_KOPYALARI/ux_minima_full v31.md,AYNI_AD_FARKLI_ICERIK
ux_minimax_ide_tasarimi_dusuncesi.md,2,2,ux_minimax_ide_tasarimi_dusuncesi.md | legacy/duplicates/BELGE_KOPYALARI/ux_minimax_ide_tasarimi_dusuncesi.md,AYNI_AD_FARKLI_ICERIK
uxm31_compiler_fb.bas,2,2,uxm31_compiler_fb.bas | legacy/duplicates/compiler/uxm31_compiler_fb.bas,AYNI_AD_FARKLI_ICERIK
uxm31_compiler_final.bas,2,2,final/uxm31_compiler_final.bas | legacy/duplicates/ide/uxminima-vscode/tools/uxm31_compiler_final.bas,AYNI_AD_FARKLI_ICERIK
uxm31_full_tool_fb.bas,2,2,uxm31_full_tool_fb.bas | legacy/duplicates/tools/uxm31_full_tool_fb.bas,AYNI_AD_FARKLI_ICERIK
uxm31_runtime_fb_full.bas,2,2,uxm31_runtime_fb_full.bas | legacy/duplicates/runtime/uxm31_runtime_fb_full.bas,AYNI_AD_FARKLI_ICERIK
yeni tasarim eksiklikler.md,2,2,yeni tasarim eksiklikler.md | uxm_V3.1_Full_Final/yeni tasarim eksiklikler.md,AYNI_AD_FARKLI_ICERIK
UXM31_FINAL_ARGE_COMPILER.md,2,1,final/UXM31_FINAL_ARGE_COMPILER.md | ide/uxminima-vscode/docs/UXM31_FINAL_ARGE_COMPILER.md,BIREBIR_KOPYA
UXM_V31_tests_meta_50_120_expect_report.csv,2,1,UXM_V31_tests_meta_50_120_expect_report.csv | UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/UXM_V31_tests_meta_50_120_expect_report.csv,BIREBIR_KOPYA
duplicate_authority_selection.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/duplicate_authority_selection.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_authority_selection.csv,BIREBIR_KOPYA
duplicate_hash_diffs.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/duplicate_hash_diffs.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/duplicate_hash_diffs.csv,BIREBIR_KOPYA
dynamic_data_address.uxm,2,1,ide/uxminima-vscode/examples/dynamic_data_address.uxm | final/examples/dynamic_data_address.uxm,BIREBIR_KOPYA
final_probe.uxm,2,1,ide/uxminima-vscode/examples/final_probe.uxm | final/examples/final_probe.uxm,BIREBIR_KOPYA
four_hat_parity.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/four_hat_parity.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/four_hat_parity.csv,BIREBIR_KOPYA
four_hat_parity_full.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/four_hat_parity_full.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/four_hat_parity_full.csv,BIREBIR_KOPYA
gercek_durum.md,2,1,gercek_durum.md | BELGE_KOPYALARI/gercek_durum.md,BIREBIR_KOPYA
gitmv_esitleme_manifest.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/gitmv_esitleme_manifest.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/gitmv_esitleme_manifest.csv,BIREBIR_KOPYA
high_service_gaps.csv,2,1,UXM_V31_Kod_Belge_Matris_Paketi/uxm31_matrix_out/high_service_gaps.csv | UXM_V31_Kod_Belge_Matris_Paketi/UXM_V31_CSV_Matris_Paketi/high_service_gaps.csv,BIREBIR_KOPYA
ux_mat_v1.uxm,2,1,lib/ux_mat_v1.uxm | math_extensions/lib/ux_mat_v1.uxm,BIREBIR_KOPYA
ux_math_v1.uxm,2,1,lib/ux_math_v1.uxm | math_extensions/lib/ux_math_v1.uxm,BIREBIR_KOPYA
